address,amount0,amount1,amount2,amount3,amount4
0x9cd243e5200b290f10d74d93e0ca6c9e51b3d664,2741568214,1599248125,4797744375,0,0
0xf977814e90da44bfa03b6295a0616a897441acec,883637111418,515454981660,1546364944982,0,0
0x812522d8b55d8e500e5f6b355fa563defa1fe964,771686835934,450150654294,1350451962884,0,0
0xf39c29d8f6851d87c40c83b61078eb7384f7cb51,487455156041,284348841024,853046523073,0,0
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,340746564474,198768829276,596306487829,0,0
0x8d6f396d210d385033b348bcae9e4f9ea4e045bd,0,0,731040327661,243680109220,0
0x5f65f7b609678448494de4c87521cdf6cef1e932,193482181731,112864606010,387337018014,16247733328,0
0x4f0f995e7716b956a36c7343cd7a06840c006aee,2771882030,1616931184,4850793552,0,0
0xe76820f1db773b1d62a3d22f47259705cc5fa4e6,3505672,2044975,450115890862,150036585312,0
0x5d22045daceab03b158031ecb7d9d06fad24609b,3360631486,1960368366,5881105100,0,0
0x77696bb39917c91a0c3908d577d5e322095425ca,148775517175,86785718352,280699782388,6780875776,0
0xd3c8ba76b3995615fa2babeb86e47f0b1467579a,145553649317,84906295435,254718886306,0,0
0x3ef5def8c8cecc61d5ff9d12ea4aeedc91bbbe77,145553649317,84906295435,254718886306,0,0
0x0bc1ffa08e3487c6e41d0bb61399d520994788e2,145553649317,84906295435,254718886306,0,0
0x461c01b68a205f4a9cc5d5dad628b25de47b109b,2741573882,1599251431,4797754293,0,0
0x2c764415a4f74bad6c8dfb4719d0e020d316af35,142076945676,82878218311,248634654934,0,0
0x5a16e6dd9ab0bea9a247f92c5aa0b349f2a4e4c6,141288005040,82418002939,247254008820,0,0
0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,16255874,9482593,322325833728,107432461982,0
0x28c6c06298d514db089934071355e5743bf21d60,24762114896,14444567023,275657743160,77441347363,0
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,102795764963,59964196228,197876690012,5994700442,0
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,77707067973,45329122984,135987368953,0,0
0x9a0cc6791a5409ce3547f1f1d00e058c79d0a72c,69814942724,40725383255,122176149767,0,0
0x853582b00bc2103c3a5be1cdfb5cec49fefd63e5,58018264098,33843987390,101531962171,0,0
0x111ca0b0377b885c0ee5d08346488b5b5b289f57,58018264098,33843987390,101531962171,0,0
0x8c8708564f703bc7ec43ab2524d3b987870d26f3,58018264098,33843987390,101531962171,0,0
0x82fff7b36e6bce20752a382b3551e47559ef9c31,58018264098,33843987390,101531962171,0,0
0xd6216fc19db775df9774a6e33526131da7d19a2c,54927605511,32041103214,96123309644,0,0
0x333c5e93c3630bc618ed63968b2f5605cb21e3d2,52983001890,30906751102,92720253307,0,0
0xa6aa907e582d834506ce7f2f066170d7d7414283,51449544936,30012234546,90036703639,0,0
0xbcd0eedbc49267cdf646ae9da340ef938ea2c5a1,50998987583,29749409423,89248228270,0,0
0xd1669ac6044269b59fa12c5822439f609ca54f41,46193867826,26946422898,80839268696,0,0
0xf92cd566ea4864356c5491c177a430c222d7e678,29821949248,17396137061,85322892397,11044827070,0
0xefe0fed2b728b9711030e7643e98477957df9809,38798629647,22632533960,67897601882,0,0
0x939447b9f329c772472e4e18b8159311364b5081,33213135277,19374328911,58122986735,0,0
0x9a315bdf513367c0377fb36545857d12e85813ef,32799247283,19132894248,57398682746,0,0
0xa481f1cbd1193007a34a5ff6911db044e78d9a00,31872063187,18592036859,55776110578,0,0
0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,150262001,87652834,77090757039,25609266179,0
0x86904e32b0d7a8e1ab4dc4a02bae7ff93e9a2d33,638269,372323,72727878470,24242253832,0
0xceaf7747579696a2f0bb206a14210e3c9e6fb269,27889992402,16269162234,48807486704,0,0
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,26243609700,15308772325,45926316976,0,0
0x53fd7e8fec0ac80cf93aa872026eadf50cb925f3,5761598731,3360932593,10082797780,0,0
0x4b984cf4062a784164d983b41f00dcfb4ec94781,23021657782,13429300373,40287901119,0,0
0x17e4abfbcff2d9e2786a2cc8f0d9056af6a96e93,22918294230,13369004967,40107014903,0,0
0x55a8a39bc9694714e2874c1ce77aa1e599461e18,21031609343,12268438783,36805316351,0,0
0x59cee32f3ffaeabc0d4991ac7569ebad09e1a7d4,0,0,51861180442,17287060147,0
0x7d8fdc8dc8dffc16948d3179dcca42295a29d62a,12621245034,7362392936,41061868741,6324896643,0
0xed8c41774e71f9bf0c2c223d3a3554f496656d16,4724809027,2756138599,8268415797,0,0
0x644e9dadae0f1c69efd851083be3dc521f7a5365,19369510153,11298880922,33896642767,0,0
0x10b3959ee21b74563e7f0755b7575273155a35df,18612143210,10857083539,32571250618,0,0
0x400f346c3e345bf2f5f1191702dddbaeaafa1a84,17705507106,10328212478,30984637436,0,0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,17535905203,10229278035,30687834105,0,0
0x5c5e94aa6815e18f0c8d774df6485f8886e03f71,16260056150,9485032754,28455098263,0,0
0xd325a37350fee30c0320ea79e1058b13f25ad81d,222139798,129581548,37668524121,12426593158,0
0x349d20981696af01d534ed25a39a46eb2e17b01d,222139798,129581548,37668524121,12426593158,0
0x529a774667d2319ab77fa2bd05e2f25dfb20dbf0,222139798,129581548,37668524121,12426593158,0
0xde9f198b6cd525c9041fc4d001fa43c764b55ddf,222139798,129581548,37503255683,12371503678,0
0x397854a8b34d279da3c61963436a812fcdf31794,222139798,129581548,37167093478,12259449610,0
0xc122cd0b2bedff8b4fc820ddb39598d38820b14e,222139798,129581548,37062723480,12224659611,0
0x6eab9352c821839874a8fb13aa50ba309ff3b9ee,222139798,129581548,37011201561,12207485638,0
0x6cb246ea02422d4a6597b62c80c63a20a8d2dc53,222139798,129581548,36809843454,12140366269,0
0x7755224670c0d9722b192b84735ed6abbfa0e868,222139798,129581548,35920177664,11843811005,0
0x482258099de8de2d0bda84215864800ea7e6b03d,14382978877,8390071012,25170213036,0,0
0xd96f48665a1410c0cd669a88898eca36b9fc2cce,14364929648,8379542295,25138626885,0,0
0x4f011107add586b1e3a4d06591d35a95ab85a264,222139798,129581548,35675510987,11762255446,0
0xb9f8eb21826173c4b2319c19230fedec6981ee8b,222139798,129581548,35675510987,11762255446,0
0x2a30526accfd2251c811dfad04f5d4f78c41454f,222139798,129581548,35675510987,11762255446,0
0xcacf3267edc1850f5b3b7165d65e0391cc46d35f,222139798,129581548,35675510987,11762255446,0
0xf7438a556c69c023cbb9d6f5bdb9a5ac945436f7,222139798,129581548,35675510987,11762255446,0
0x4a880db65187dddf3026aeaaf54b134de1c9f8ce,222139798,129581548,35675510987,11762255446,0
0x461ad1b6ebdfab473514db6ee1c0134bc1169fff,222139798,129581548,35675510987,11762255446,0
