address,amount0,amount1,amount2,amount3,amount4,amount5
0xf2b27ae0d6b9e951e53806fc4932118d66cd0b7b,0,0,56384714154,169154142463,0,0
0xf8aae8d5dd1d7697a4ec6f561737e68a2ab8539e,0,0,15208545360,56203923314,3526095743,0
0x1c93bda3bef1e486ff31c745278fc3dd0aadd6cc,0,0,10572691632,31718074897,0,0
0x5410e553eb2a8e9bcbfdcc5a3c7815b8e8a36749,0,0,7252754591,21758263775,0,0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0,0,4983498824,14950496472,0,0
0x57a4342ed31c8f53e164ef28b0182620d20290a5,0,0,4340498480,13021495441,0,0
0x15db2b5729df80e1f21f264c004cf32881c79ac0,0,0,4309411573,12928234720,0,0
0x3a1bbd14c1c0e2ebf7cd906961d122dadd5448a7,0,0,3517736639,10553209918,0,0
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,0,0,3022186306,9066558920,0,0
0xa95b6ad5ce87c9c57d6c8e98a17c390a2e0ed603,0,0,2934651971,8803955913,0,0
0x742abdf78fc8713875ed582e6e8158b6b3d670bc,0,0,2901620682,8704862046,0,0
0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158,0,0,2728618710,8185856131,0,0
0x84c06d3c27821d0136f66306f5028d43ceac268d,0,0,3650568740,10951706220,0,0
0xdea7a0d42d2e109b03f9fa5e4f51f517c241780b,0,0,2525496009,7576488029,0,0
0xf3f5c252e8acd60671f92c7f72cf33661221ef42,0,0,38042949680,114128849042,0,0
0xfa2cf2f306e3f6c5db254faf4ad78ff03ae070b6,0,0,2603474159,7810422477,0,0
0xad0135af20fa82e106607257143d0060a7eb5cbf,0,0,83864536401,251593609205,0,0
0x8889ff5b6323e71c28c26d2c34b8bb52654f00a6,0,0,34058253463,102174760389,0,0
0xcebf0b9aa32ae4ee342cbad2048eacf1634a0ae0,0,0,3672236293,11016708881,0,0
0x31d3243cfb54b34fc9c73e1cb1137124bd6b13e1,0,0,34077101995,102231305985,0,0
0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77,0,0,29357051028,88071153085,0,0
0x1e5630ee2c7fcf92197fa632c3d288a4865a275f,0,0,5145026749,15435080249,0,0
0xbaf8f28cb2e6f2b12fb1d9d4979d4e18b2f96dd0,0,0,8948619233,26845857700,0,0
0x50b03254e1013ab8325db6576dab1b9c5a7d0f3f,0,0,12326917663,36980752991,0,0
0xb36d7043fa97c907143e53892713131064ceefef,0,0,2551658547,7654975641,0,0
0x1a69208eb1cf5576807e373fc01594cbcc3d022f,0,0,2318802744,6956408232,0,0
0xa253a5a36a916a6243b6a1dbed2ee644263c3397,0,0,4714491558,14143474676,0,0
0xbddfd2230f67a7369939cf0a953ff73fc05a34c0,0,0,12834580861,38503742584,0,0
0xeae8f93cafb5a280cc0060fb1733d6a28a81bc14,0,0,2834577217,8503731653,0,0
0x0a8305c2050f080ba7c0aaa446ec0b28dba8af93,0,0,2737475906,8212427718,0,0
0xaae102ca930508e6da30924bf0374f0f247729d5,0,0,2557416199,7672248598,0,0
0xa79c5621e0c85587068f8e91d3d15488df6c3c1c,0,0,2727158035,8181474105,0,0
0xeb7129a1177f4cf9bf9e9e7df0ebd4c1f164d037,0,0,14879452329,44638356988,0,0
0x5641519cc28def80d631baa28b949f17a6a22ad1,0,0,2580406989,7741220967,0,0
0x9e90d6fe95ee0bb754261ee3fc3d8a9c11e97a8e,0,0,2500677732,7502033196,0,0
0x1ecd2a1e3d345e1305b6370b8fd9f13503d1e52e,0,0,4430481857,13291445573,0,0
0x73d38d824fb2a24d1d888da0e582a850cb34343b,0,0,12700499026,38101497079,0,0
0x9bb0a03c1f3ea549b4556e5fac5763e512d0e4dd,0,0,3000065299,9000195897,0,0
0x14eb4a6bd7da4750a2a1a8fee87de6901852dc5c,0,0,3748008115,11244024346,0,0
0xe639fa0647a2d9c61ea33b5deb0df3c7c0a68760,0,0,4998647774,14995943324,0,0
0x7c3ad821eab5b8a4588f8787df2dad63cfb8383e,0,0,4243994270,12731982812,0,0
0x54202f9e822e09529c92b2d6f45a853f4c4f7bc2,0,0,4168131681,12504395044,0,0
0x1b700ad2fd3cb22b9cd720ba16f1a34b8854ce1e,0,0,3150933083,9452799251,0,0
0xcf5efa2358e92034006eac53cd3701096029cbee,0,0,3861089921,11583269765,0,0
0xbc14c6e767b48919f9a86bb06d43c994261ee1d3,0,0,3785330722,11355992167,0,0
0x4374f318ea2f8cc50ee177e3c6344c102fedbd9f,0,0,4105851374,12317554124,0,0
0x364d7263581dcc575848cfcdddce6c6753ca6b77,0,0,3676037767,11028113302,0,0
0x735f4775594ba291c1a79c36d4a99889143600e3,0,0,3664318841,10992956525,0,0
0x20b7807939c774a152b396beb704acac68fa10fe,0,0,5319185815,15957557445,0,0
0xcfd9eee4c4f335f99c2c1258bf98d21c05d4ee25,0,0,6070589274,18211767822,0,0
0x8cd786917dc4eb2b278460cb5722f6a4d8420663,0,0,7329068139,21987204419,0,0
0xe75d08bb250abb824908b995e9bf6e0b1cc313b2,0,0,3294245495,9882736486,0,0
0x9035b69186fca1a9a43d6d5aab62822ed666e6e0,0,0,3660790916,10982372749,0,0
0x704c8c855765b4c053cc2dc02b3f318caf2ab732,0,0,2275109643,6825328930,0,0
0xdbc0e13881380a87569bb6e851e4ca0623f3fe14,0,0,2260874234,6782622702,0,0
0xb96be12a3fa724ee9c0a7a16b8849e4a14cafd5e,0,0,2220693856,6662081570,0,0
0x96909d3041728a96f292e8da2d08dbc03e801f03,0,0,2217541554,6652624663,0,0
0xeb4d9c6614fe4d4d4ada2565a6d895ba3ea08796,0,0,2217316036,6651948110,0,0
0xba677ab69a10f80086d17105100aa79e31c39080,0,0,2216402999,6649208998,0,0
0x03a94b4b5813c804c94181c4d2129bde61efafd9,0,0,2210111142,6630333428,0,0
0x56da606001c8874cd774aab2eb5ee3aa577ba4bb,0,0,2196505258,6589515775,0,0
0xd85c530caa9a3ca88efbfab14b8de98cc3a21ef1,0,0,2194179279,6582537837,0,0
0xfbcdfa05255bbd03023fe18ac509ad2015a3ebb0,0,0,2184401334,6553204003,0,0
0x215accbc4667c3cdde9a3b798412d921c9bf100c,0,0,2054899789,6164699369,0,0
0xef75e8ee0e02e03ec5b9395a322de2c2148d7b23,0,0,2018557217,6055671651,0,0
0x871ea9af361ec1104489ed96438319b46e5fb4c6,0,0,1969909820,5909729461,0,0
0x8fec40f784a43a5b07e06cc5180d8c46df08a616,0,0,1967080900,5901242702,0,0
0xa7d1b49a4c3cb52af136490986c2f6bbed2a7a82,0,0,1955830155,5867490467,0,0
0xc2173c2bf0472a3c2fe9e4213d8270dfc01efae0,0,0,1926812979,5780438939,0,0
0x38b019db008fe50ffa33ce9c3aaf1c665835740b,0,0,1915297281,5745891843,0,0
0xb6083361eff56110eb65c699a16016e85a499101,0,0,1866816906,5600450718,0,0
0x80c873d1568fcff19a416c24c562e6e50b9d98df,0,0,1844294149,5532882448,0,0
0xd21a12b3fb7e8c622de672e2647627393cd530d4,0,0,1833172458,5499517375,0,0
0x415d23fa24e8e29e896afc8933970acac835846c,0,0,1832668761,5498006284,0,0
0xec795f878b6e869f036c7ae5132e3a8ec12c633d,0,0,1829380073,5488140220,0,0
0x1e62fac7476e11f0d94c9895f41c8dcc0dc3e025,0,0,1794562954,5383688863,0,0
0x3a3cbd8556d60562d410a5cd1881e95bfcdefe62,0,0,1787716953,5363150860,0,0
0xe0eca272c9ef26c62bd1c77dda4c5d8fdfda7048,0,0,1763356245,5290068736,0,0
0x757db7c1d65b1d3144e2afb3de8aa3d6ee87594c,0,0,1743257858,5229773575,0,0
0xb385df57ea892266cda74773947272ce9a2228ae,0,0,1730779149,5192337448,0,0
0x33e1b58ddd0f72e26eeaca9c1677b957b3bfae51,0,0,1726512468,5179537404,0,0
0x7cb5fd8cb523598c4f1324d51dcec4e54aea52b7,0,0,1677266095,5031798285,0,0
0x9ebf6b6b50f1c869fa3811ab6d27e7cfae4c92d8,0,0,1540223548,4620670644,0,0
0x08c9573a3a9235b712237747a88989dcb24d4a34,0,0,1523705505,4571116517,0,0
0xb655353f8357b8e7e8561e5535e5a9b11b069df7,0,0,1517649952,4552949857,0,0
0x96a130727e3ad0900349fdf8cd28a97500b7260d,0,0,1495134576,4485403728,0,0
0x68905445e7b9a4f1f01a537bed3f569764ad0de1,0,0,1490852091,4472556274,0,0
0x0e3a84b87098683e57fbf62443dc8944ecded2e3,0,0,1488556335,4465669005,0,0
0xee6bb9f347ab333343c7c1186ffa5b6876086145,0,0,1487576359,4462729077,0,0
0x0f97258b5b506b210ba05f4c1f3c3cf84cc44496,0,0,1477727160,4433181480,0,0
0x1a9457bfdb38f62c5748b57aa9c0a9b6bf06693f,0,0,1475253601,4425760803,0,0
0x86ba32deb9721ac00b7e68f6bea99332fe446719,0,0,1456496383,4369489149,0,0
0xa86bd8539cf64ab5414bbcf32627b7f03f01e1a0,0,0,1449654420,4348963262,0,0
0x58ea53befebce31dab97c51aa3c07a0ca875a769,0,0,1439910263,4319730789,0,0
