address,amount0,amount1,amount2,amount3,amount4,amount5
0x8995909dc0960fc9c75b6031d683124a4016825b,0,0,24901459642,74704378927,0,0
0xc9219731adfa70645be14cd5d30507266f2092c5,0,0,843095213,2529285640,0,0
0x6ca31f70da5010132424a7c8e17c9aa559dfc456,0,0,561622644,1684867934,0,0
0x1c32d7d4ab545ce28750f26a9e96af89e12823b3,0,0,162631420,487894261,0,0
0x6da172ec29b4c644bfa8e0ef9457d6e748ccd17c,0,0,120103407,360310223,0,0
0x6ce5a2ae57e784a722f4b9bbbc924511df0bb4f3,0,0,91908646,275725940,0,0
0x553eac9a39f5190990ae1d0d1e9c28a20d170efd,0,0,83733090,251199270,0,0
0x304752bf12d6d81d9072e347080bd570ba84e162,0,0,54414174,163242523,0,0
0x7499202f9781791890a2238e5abcc47b799a184a,0,0,51785841,155357525,0,0
0x3782c0b498bfa866b03c7bacd76fe4757176c160,0,0,38585797,115757391,0,0
0xa0182889fe8927ba073b163a425700982bf49127,0,0,31170561,93511685,0,0
0xf07bfd0e9f07ef19ac1f648a2fc50b3bd41344ac,0,0,23021902,69065707,0,0
0x6fb1695f3d3c8c61b52fb46636fc3f73733d4fef,0,0,22836344,68509032,0,0
0x7fd45129424c73b56b0faf0aaf5b859be71c6fd9,0,0,17352507,52057521,0,0
0xd4ddecf7c19c8e03d88ed73dd1a376c3949ec94c,0,0,17335568,52006706,0,0
0x6b38f81605bb8a9d049b0d1083b4987e6a0dfb74,0,0,16813400,50440200,0,0
0xb4cca8a16d22954bcdc0374a364acbb8cb1f5182,0,0,16072212,48216638,0,0
0x4e30a20007bf144f294bcd893705697430088b8d,0,0,15519962,46559886,0,0
0xbb84f3bc05aa79e7f2996083a9be7e273c487876,0,0,15519962,46559886,0,0
0x0935614581eb6874895c36a945986f78edbf1d53,0,0,13721048,41163146,0,0
0x8e77bcefce5ca8729d53d775909f630d42c73b98,0,0,13535243,40605730,0,0
0x9780aa62778f0ef30445510474c96e4d2e15c150,0,0,13380736,40142208,0,0
0x2d34ddb6b5edebac00b255260869862a6e07f814,0,0,13193067,39579201,0,0
0xeee7357787cbeffd12bf635985d5c5235d83aa2c,0,0,13181426,39544279,0,0
0x3435dc29d69608067bdb504a0259139e9a292bf0,0,0,13062430,39187290,0,0
0x228d6f044ef122dab409972458da538f7882efd7,0,0,12934188,38802565,0,0
0xefe897fda6c54a48c014ca4ecebd533babab35ec,0,0,12900438,38701315,0,0
0xe5149e686dde3d03ebeb03bb6511a9ff695252b5,0,0,12673105,38019315,0,0
0x925607eb1e558a1917c5f7c633afb026f97ef934,0,0,12211229,36633689,0,0
0x7fc32526437392980c7a990ae07ad21a38ed2e5b,0,0,11196533,33589599,0,0
0x5efb73c2d76ae6a1334c3f94bd2c428ff3876677,0,0,11120815,33362445,0,0
0x4429ade3f063ed1631b4d359187782e24ff2e8ad,0,0,10745376,32236130,0,0
0x68ad212d1ee7eaee724e99c59d2bbc4a9efff51c,0,0,10458455,31375366,0,0
0xf9e316bb51972f661c6cc1321b6b213b282dbcdb,0,0,10346650,31039951,0,0
0xa8aeb37488110c50911a28a69ebd4cb682a050d0,0,0,10346210,31038631,0,0
0x6c8245c7fb2f1c5a54b2e341208ff4e251c5328c,0,0,9816847,29450543,0,0
0x3496957d7fd7f0cdbb2cd165882f64eb471068ac,0,0,9809290,29427872,0,0
0x0ba6ce9c5ab60f6f1c31ae7bc5850a66571254be,0,0,9518410,28555230,0,0
0xd0b2a99ff4660713f3d1cc81057a8dbb2cf05aa7,0,0,9216147,27648443,0,0
0x052ef0456f4dd87cef14de01fcf63473c405f251,0,0,9181340,27544020,0,0
0x8d36fd6dc52f43e01098dc1711e172e105e0476e,0,0,8695819,26087458,0,0
0x49737719f7733957b37c55a69ac51498ddffd38f,0,0,8278003,24834009,0,0
0x9f09d57b0d22b56c21949a9229c89a0c2df4ddad,0,0,8276709,24830128,0,0
0x5e4ca41f9347645b81b1a7a58c3f5e7596a44235,0,0,8276587,24829761,0,0
0xa62ca7f6a7db1d58475d12d28439683aa8dd04a4,0,0,8273467,24820402,0,0
0xb3f5a254431e5c345ff760698189c42fb0774e82,0,0,8251099,24753298,0,0
0x05e19ccfd6e9ccd548ca6d52682e2ed6157ba1b8,0,0,8225857,24677573,0,0
0x4e5d004ea8fb1387b701123c01c57d4e8a39e759,0,0,8017011,24051035,0,0
0xd88de8bf8e4730b4b3dd57db114ebf32ec75b4db,0,0,7872889,23618668,0,0
0x7dba5e0abdc49ea78532479ee671059755ae8809,0,0,7803915,23411745,0,0
0xc1d075b30a45323f9f8b3df04b55b7591613c4c1,0,0,7760627,23281883,0,0
0xd62cbb61850389a5384216a61dd2a12084068b50,0,0,7759334,23278003,0,0
0xe9f611df98d43804ed891d3cb0455fb277e491f8,0,0,7501147,22503442,0,0
0xea4c93b85509f0dc19a2a5c35f3a215eeda00069,0,0,6931534,20794602,0,0
0xb1d603e5eb7df59240c4296ea394b8a076c39832,0,0,6725877,20177632,0,0
0xee35f369e9f2533e8a138c4ee1720a2b5f96500f,0,0,6724584,20173752,0,0
0x48cd328af011be0bf7e8a299996e6591cd02f2cf,0,0,6603062,19809186,0,0
0x3d641acb4b6bceb4d4456584542e15d1ae340039,0,0,6513799,19541398,0,0
0xec822f36f202ddd3e0b383e39d7f58ac03f78fd3,0,0,6476412,19429238,0,0
0x55f486e39e4abe2421010c742a0c530049a47846,0,0,6470921,19412763,0,0
0x804ff9c52fc0a6efc83737a8ed27773c0bb51137,0,0,6467189,19401569,0,0
0x440fceb4d4539182d3661986d089e69966191eb4,0,0,6465896,19397689,0,0
0xfd6558c9f7d8767845690128563f04ac9f029dd4,0,0,6465800,19397402,0,0
0x6dd0e7ec9abc892c661dc30f3f0a9baaab0d02ba,0,0,6351297,19053893,0,0
0xe3e17e9ab3d2b5e34da3b0b5155d696239cf1148,0,0,6335165,19005496,0,0
0x10010109f164ff178fb6fca78515e9a5051e78f8,0,0,6331877,18995632,0,0
0xf217ba3950855ddccaf487ad502b630c1fe1a090,0,0,5931469,17794407,0,0
0x57c5a28500fc3c5786ff7cd7b5c29593b2658147,0,0,5880940,17642821,0,0
0xff39331a38408edd01dc8ba54fe62eae678d59e8,0,0,5785548,17356644,0,0
0x1cd0f48b6378c66709f74b9b9b6b258ef60388ae,0,0,5633804,16901413,0,0
0x009e560fc38ebe09e12f4199305424ae4b38a0d1,0,0,5613909,16841728,0,0
0x914c10b6f45525fb476c77838f7b692a2be212ca,0,0,5460688,16382064,0,0
0x229c5318108710cbf5ad2069019d3ffda2f2d67e,0,0,5451760,16355281,0,0
0x29953b98f9721962841843eebd21d94aed58fc54,0,0,5429852,16289557,0,0
0xa8621c43cd451d41895e65027dbc5681215efdeb,0,0,5341032,16023096,0,0
0x59d58c0153870ce2b4f495c18e322bce231a8313,0,0,5301802,15905406,0,0
0xa5c75352d5da5a69c765ba9e95d0d7965578a1f7,0,0,5301802,15905406,0,0
0xfdefc46942f6171fe7b0f62d219a3eed0445fc3b,0,0,5274122,15822368,0,0
0x56df1fcd29c0fddbd80e34917e975e2249679188,0,0,5176668,15530005,0,0
0x006974ae1920511f1177f4eff5a97f0ab4320bd6,0,0,5173751,15521255,0,0
0xd939d923f4d422a21c4cd4bd37c515266f82a23a,0,0,5172644,15517932,0,0
0x6f26f2f73b5883cd280ed43912c470b67322ebf8,0,0,5172458,15517375,0,0
0x45b344c5ea7d7ef977d2c10cd751e9e7f323ac06,0,0,5172458,15517375,0,0
0x9c80a84e5a91bd00afd27a1d8365bbf0d6e9a095,0,0,5172458,15517375,0,0
