address,amount0,amount1,amount2,amount3,amount4,amount5
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0,0,64755889977,194267669933,0,0
0x131bd1a2827cceb2945b2e3b91ee1bf736ccbf80,0,0,27332706067,81998118201,0,0
0xa481f1cbd1193007a34a5ff6911db044e78d9a00,0,0,26560052656,79680157968,0,0
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,0,0,21869674750,65609024251,0,0
0x4b984cf4062a784164d983b41f00dcfb4ec94781,0,0,19184714818,57554144456,0,0
0x17e4abfbcff2d9e2786a2cc8f0d9056af6a96e93,0,0,19098578525,57295735576,0,0
0xe5350e927b904fdb4d2af55c566e269bb3df1941,0,0,18764364220,56293092662,0,0
0x59cee32f3ffaeabc0d4991ac7569ebad09e1a7d4,0,0,0,51861180442,17287060147,0
0x644e9dadae0f1c69efd851083be3dc521f7a5365,0,0,16141258460,48423775382,0,0
0x0f70a91dd4ae5a17868991180c0d4fcdba82f6b7,0,0,15112420102,45337260308,0,0
0x5c5e94aa6815e18f0c8d774df6485f8886e03f71,0,0,13550046792,40650140376,0,0
0x6abbf31304371b64ad96652c4dfdbae989656ddf,0,0,12803275236,38409825708,0,0
0x05b2dd0181cb0c69ce6e02c93003b3a49b498e73,0,0,0,32728093845,10909364615,0
0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56,0,0,9873494808,29620484426,0,0
0x83a413ee59a8b7ee0de6ac5b33a0cefa3d978e83,0,0,117065,23739424269,7913024357,0
0xee7e7abf320f3deee45fdb78719e9eadc18c6451,0,0,7809580364,23428741094,0,0
0xc63a99a1e05e57898d0c96eeef5fae28ce7eb650,0,0,7019402602,21058207806,0,0
0xeca96f973f761aa9327b667a68cda6a9a1709312,0,0,6647626117,19942878351,0,0
0xb0935d4404e988c199692c32a1c416e76ea015ab,0,0,6567964078,19703892235,0,0
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0,0,6476617287,19429851862,0,0
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,0,0,1847493309,18787376520,4414965530,0
0x475a64058bcba94e5cfa7b76dbc49eaadf73d0f0,0,0,6256219618,18768658855,0,0
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,0,0,6188538890,18565616671,0,0
0xc576b0ebf7e37cbbcdd0b948c2a8f8c61ed3d416,0,0,6173700036,18521100110,0,0
0x915a9fc3f971c9ce9efa2f7f6347d6e3487f0267,0,0,6131648632,18394945897,0,0
0xe5447efebb597267d6afe9c53e0aeaba7e617fa8,0,0,5939930149,17819790447,0,0
0xd0840450cdbf8197fa0d18f8d459ee7d05bc82b2,0,0,5189871623,15569614870,0,0
0x9a078166c259e08f85e863c9b393df0d58ce9331,0,0,5097500498,15292501496,0,0
