address,amount0,amount1,amount2,amount3,amount4,amount5
0x7108f1bdf9d04a4eaa07a357644bb2d9fc10ebee,0,0,3165911484,9497734454,0,0
0x0000000b4d325bb539676dac6ec3413d5974cf0f,0,0,2054064684,6162194054,0,0
0x91ce80c194a4bf42e01d06166dfb11d6eef13edc,0,0,1961061184,5883183552,0,0
0xbeffe696d7748b946ca44b8b8dfbe837f0a7e41c,0,0,1033467690,3100403070,0,0
0x8860f2dd5cab736a6cc4d2612aa214548194d1cd,0,0,776991999,2330975999,0,0
0x45b912944bfb7fb2dfb6dd6d376cc19d3e244242,0,0,570161297,1710483891,0,0
0x6c4952a4aa6db823fba3b30d0fad85683dc90ee1,0,0,503052662,1509157987,0,0
0xcefcca169357a18eb8c3f230f92b58562e48cae5,0,0,502323823,1506971469,0,0
0x33d84d2a77d850b13053a1496d25cc58b145aa13,0,0,405847765,1217543296,0,0
0x42171c6f82e5e01606b4a472fed8054eebeaf055,0,0,369905656,1109716969,0,0
0x0df9a8932b1ccacfcad3f1409431ebf8800f42e8,0,0,322829718,968489156,0,0
0x0fc43029b680c3484b49d4327581d0bc9ec33091,0,0,306112899,918338698,0,0
0xa1aa6d1aab32f74e6e11bddc4a6e3a9696ce45c7,0,0,305096056,915288169,0,0
0x9496e157f5c96c19a01bfb87c7149b734ead706d,0,0,296793730,890381192,0,0
0xb52b961d364ef67ac00589ff7fa9b0782ba13665,0,0,289989377,869968131,0,0
0x72f8a4486fecae174da6d98c3c288587391b3fc3,0,0,280650961,841952883,0,0
0xbed589682a6a89e88a8555e38db0e766f5f42c46,0,0,271945746,815837238,0,0
0xdf7a990073845da3567aa70b6db1bf4bbb07b718,0,0,256718319,770154958,0,0
0x683a87a399f55420345d966379c25ec0833ca22a,0,0,244896030,734688092,0,0
0xdc77974855c06c6a7261f4db7a0cafddfedfd8fe,0,0,205482737,616448212,0,0
0xf3de4a14a5c2611b092ad81e8211c53247ff2e6c,0,0,204216830,612650490,0,0
0xd0b53c43d3e0b58909c38487aa0c3af7dfa2d8c0,0,0,196266005,588798016,0,0
0xdec04ed080ea1488e0f616f8982aca8a830c9c46,0,0,185814739,557444219,0,0
0xb5f3185d4528bd91e3207d99c0be0b505d8de036,0,0,178525636,535576908,0,0
0x15464a146107f673cfbe094540cfc3ce2fec9fa1,0,0,166630014,499890044,0,0
0xad72fe1c608b266a3b0d9f9d352edb983453dc4f,0,0,146393131,439179395,0,0
0xf21a8241b8f337bfdcb756774fbb36e624d68dc9,0,0,141322218,423966655,0,0
0x16a4ec779ec71f9019ff79cbdd082a078c9ea06a,0,0,140583481,421750445,0,0
0x637fceaf3e5289d2b396b831335e7d8a180c5656,0,0,128426956,385280870,0,0
0x789b6aac983ae8793c7edf685b688c8c25889a88,0,0,126266921,378800764,0,0
0x123d524aafbf7eec55ba48f4a2f942cdfbae7e66,0,0,125056362,375169088,0,0
0xb5aa18b5b83d0dd0e5b78ef72ef35d13ed731a03,0,0,112345151,337035453,0,0
0xadfbbbee823f348af59bb4cc7cbf3f121064ce0f,0,0,111849618,335548856,0,0
0x1e5ea395c638c31c945d9ef03715ed7c02c2c5cd,0,0,109340970,328022911,0,0
0x5f40829fca5cd92316fafbe81f33854066bcd746,0,0,106377009,319131028,0,0
0x1991059f78026d50739100d5eeda2723f8d9dd52,0,0,103940799,311822399,0,0
0xfad7889803d5030d6f9954613b80dfe65a70324d,0,0,103464837,310394513,0,0
0x622ed824050bec39e64e19ade462093a763cc5e9,0,0,102830089,308490267,0,0
0x5c5f29da63f873ee3028f56957b4e8798854a3d4,0,0,98880541,296641625,0,0
0x543ee6e6ec9ea35d8a7fc2d6e0856456915b086a,0,0,96298208,288894625,0,0
0x1395de9daec52ad405e945603ea0a9346d00d01c,0,0,95010411,285031234,0,0
0x11c3946dc1b186c2e8cdebbae4527b418a2395ee,0,0,90631803,271895409,0,0
0x98cea6ed2cf1047b08942cdeed525dc7eae2e84e,0,0,89815464,269446393,0,0
0x0ea5bde1f85242e060027be3047e129446671af8,0,0,88302059,264906178,0,0
0x750f53f8eb3024bd63913480a0b47f3e33fefbaf,0,0,86000655,258001967,0,0
0x00fe765bbfe89eb7e15c0a0d005937044c78a046,0,0,85699807,257099422,0,0
0x4a03721c829ae3d448bf37cac21527cbe75fc4cb,0,0,84967606,254902820,0,0
0x2855e2436257fe77eaee688a05ca6d6731c49945,0,0,84330839,252992519,0,0
0xf0ab3aec33799d83a3deabfb95b7a71f3a14f4ac,0,0,83570541,250711625,0,0
0x5ce35237231e67428d808ddbdbbefe22ca8384f6,0,0,78515015,235545046,0,0
0xeacda2ec70b828072e4dfe045be2ae603e9d744b,0,0,73813096,221439290,0,0
0x0fb127fa96e44e176a302d763dbe1c8c51b83cda,0,0,73492061,220476185,0,0
0xda9b6bacd476977b8df2922abfdc281730a5ab61,0,0,72695000,218085000,0,0
0x94dc0b13e66aba9450b3cc44c2643bbb4c264bc7,0,0,71882143,215646430,0,0
0xb542585b97459973d203328fd26917c3ca3bbc10,0,0,69411578,208234734,0,0
0x33cfb3ea61b1af1bbd9f5d9e543b89ca4fbf3a9a,0,0,68453680,205361040,0,0
0x3ccb805e4e4d97a5f1c2c3c7e98fac843521eb19,0,0,68164776,204494330,0,0
0x3eb0efb37d7fa41859741bd14f79781130454bdb,0,0,67561753,202685261,0,0
0x7a505df95aac78f142ca98cecd771d3c398b4b71,0,0,67214671,201644015,0,0
0xdf38fff01f7eb181f1b7a0e4f253d07ca7b12543,0,0,66228556,198685669,0,0
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0,0,63169568,189508705,0,0
0x623e8fbab45ae5bfae75f2ddade82f1381e47743,0,0,61914958,185744876,0,0
0xdb5ecd69dd81a7a8f5e41a31c5da060a28f56a32,0,0,61203832,183611498,0,0
0x424d5011484dd4abf2e52a5406bf225b1f50023b,0,0,60936454,182809364,0,0
0x8190f8da34f0a8fb72fcfa67c7c9fd9550faa644,0,0,59197960,177593880,0,0
0x777336ae2cef9ddc261a61a97cbfb4e0aa7d1329,0,0,58870153,176610461,0,0
0xa6c935ed04dfd5366559cd5fd1c45854fb180589,0,0,58572894,175718684,0,0
0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3,0,0,55191575,165574726,0,0
0xfb975eb5e04806867e1371cea846dfe3751a36a2,0,0,54086064,162258194,0,0
0xd1f4f666eace1ca6cf10751a120c0b4af7902e0a,0,0,53571701,160715105,0,0
0x851ef0a28922435675c77d505601e625f65ff088,0,0,52972721,158918164,0,0
