address,amount0,amount1,amount2,amount3,amount4,amount5
inj1sqz6xwk4rdr6h95mml5t0cg9rlp7lvr28rcp3t,0,0,1393658830,4180976492,0,0
inj1vn5fx74ud4cu7tf0pls9u5krxengsdzrg9ap2d,0,0,1333435502,4000306508,0,0
inj1pdrwxwts36jds77jlnrpv98ppxkrwja7hc2659,0,0,319621458,958864376,0,0
inj1qghree8d5fjt8cl77csrdjqc9n4c3ekwndy59a,0,0,153215006,459645020,0,0
inj1ju48ulgakgclvlne0lx0h5zdzluztlx7suwq7z,0,0,141130652,423391957,0,0
inj140rt3nt53vu4a09qejmqwylpm6dcapltmlr9tv,0,0,92057946,276173838,0,0
inj132p456dmpl9d8saeycug6dhr2jy3xruhy24dnv,0,0,55303760,165911281,0,0
inj1ddcp5ftqmntudn4m6heg2adud6hn58urnwlmkh,0,0,47390902,142172706,0,0
inj1dhes6dyn4yr6lasd3dvewu7j06dd8egag9znkj,0,0,41556334,124669003,0,0
inj1akxycslq8cjt0uffw4rjmfm3echchptu52a2dq,0,0,21789832,65369496,0,0
inj1p6fc7g6vlacrvf9zgac2rqy5e4c79vmmasw8dv,0,0,8191811,24575434,0,0
inj1vn7e509glptva534l48kxjszdwy35y8k495a27,0,0,7856599,23569797,0,0
inj144aztel4j6u77lwgtzm5sglhpe2mwqlyeluxjh,0,0,6301124,18903372,0,0
inj19e32s3jgmne623jdvfyhsr0cwcc2n4n98at9ze,0,0,5436805,16310415,0,0
inj146lfvrxszcmznc6nvgryjtqdt2dj45vcn24yky,0,0,5068927,15206783,0,0
inj1zk3hepkpzp87ruwf5jdk5tz3n5fryz7tly2vyk,0,0,2617360,7852080,0,0
inj13jt3l34cdjntn02v4pyngwt68h3ngnjxqdw7qn,0,0,2519611,7558835,0,0
inj1zqr49ecvmxe3yfg9qndadc6usz525t9285afdx,0,0,2184143,6552431,0,0
inj1zwqltm3pq745h7enw4qs4s24jfq74546hcxt56,0,0,1855876,5567630,0,0
inj1pz6t4f9lx5meh7mfxj9gqlsspqjc6f3wmtde7w,0,0,1840056,5520169,0,0
inj1fpx7dqf7mpw6sc79wdd6wyxzh9cle0yg7m5evf,0,0,1790389,5371168,0,0
inj1tn5kyknjrkwn94nmgl3fhgg6ga7a8f0y4pvyk2,0,0,1313194,3939582,0,0
inj1r7fy3z5vj0g63fn9x4skmmjze32nzwrnv72rrd,0,0,1245865,3737597,0,0
inj1hugwxlzph6m0xc2g7cluqjqjgqupx42dt60cc4,0,0,1191305,3573916,0,0
inj1264fzg5sn4r7ed0zepmmlee9hjzdjvw670l29k,0,0,1177424,3532272,0,0
inj1dt4dl0gz5tyauj5pvvu39vahhks76lt5nawyhs,0,0,1177400,3532200,0,0
