address,amount0,amount1,amount2,amount3,amount4,amount5
0x4a4c7c5549359b9fff0137bb3ec4d48c4aa79cc7,0,0,12102418430,36307255290,0,0
0xb78e90e2ec737a2c0a24d68a0e54b410fff3bd6b,0,0,7461029354,22383088063,0,0
0x8332c9c551e658fc172b55fb6093346f157b99b1,0,0,5001259913,15003779739,0,0
0x5180db0237291A6449DdA9ed33aD90a38787621c,0,0,4445269526,13335808580,0,0
0x8cdd504ac64c4bd953cae55d7cefc9d756753f31,0,0,2384792863,7154378589,0,0
0xaac957a8264124d93d42ede793356e49d0ef5c88,0,0,2232697691,6698093075,0,0
0xe4b5b2667e049ac8c79ae6c5a7e3300815aa32be,0,0,1952022156,5856066468,0,0
0x21e4920bfece1009fd55958b50da12c72c3a7140,0,0,1412880050,4238640151,0,0
0xa00b0540f43e00a634d016a31b0a39d95170e6bf,0,0,1363393529,4090180589,0,0
0xde0ed312c2a3f9a105a00a2c65d4487be7249e18,0,0,1198281231,3594843695,0,0
0xf8aae8d5dd1d7697a4ec6f561737e68a2ab8539e,0,0,1085124376,3255373128,0,0
0x5fa9f8988e927b406892714f00de54b25d7dc73d,0,0,1024278874,3072836623,0,0
0x1a17be0a823e10923cc75c7f7853a485157413f2,0,0,735877528,2207632584,0,0
0x9bfba640006bd76851cae389a93461b28fef54d1,0,0,704320705,2112962115,0,0
0x60bcb7fe344c5024ab0ce07c63426d856afb2d39,0,0,598178635,1794535907,0,0
0xd3d870a13e501a9a50a685fdf86346721cb05b36,0,0,589457089,1768371267,0,0
0x462206eabeaf8b79e3010db82cda89bbd89565a5,0,0,587712791,1763138373,0,0
0xf482404f0ee4bbc780199b2995a43882a8595ada,0,0,530076832,1590230496,0,0
0x4298272c3fc13f951d72a2a1ded8123e031bd04b,0,0,500395017,1501185053,0,0
0x22bec6d90ae5be051834a635c5c821e97895529c,0,0,498558273,1495674821,0,0
0x136c0d9e09af814dba47ab2fc8ce5f11e1c9062a,0,0,457275037,1371825111,0,0
0x269c8c68b8331afeb83f95cb700a7eedb9c42088,0,0,439415313,1318245939,0,0
0xd5bf1f96ad5f340bbf5ad9d1d0802b213583f0a8,0,0,430973745,1292921235,0,0
0xa155f50a9cc4bcd530028ac5bf096d6d9b112b68,0,0,423864015,1271592045,0,0
0xff0cb0351a356ad16987e5809a8daaaf34f5adbe,0,0,367997963,1103993889,0,0
0x3e8acff977fb67220e06faddb8e04c2e1aef2a31,0,0,353958402,1061875208,0,0
0xf150a0124f935670d4497eba2eb36b7ec7adda74,0,0,306241750,918725252,0,0
0xc4827f2148ef6d98a1027ee2a3c1ee00a191f700,0,0,294350010,883050031,0,0
0x5a995fa324e9281493007375bd6e03a6dadcf4bd,0,0,253662031,760986093,0,0
0x709d103dac4d2f1dc73040e0b343c847c18a1447,0,0,243815426,731446278,0,0
0x56f456fe7d0057e06f84271b3a5d4b6c7a596099,0,0,236408939,709226817,0,0
0xbafdd9b705cc46d82cc06b0a0406e875ecaf769d,0,0,206409303,619227909,0,0
0x7a04d08a0d2763504f224d6c997e64217e79faad,0,0,206045356,618136070,0,0
0xc95d27d0f1b58d6b9f11ca2017e04ec194772885,0,0,199866094,599598283,0,0
0x4f3d836d09748f8c4b9b4df85c4bc6a8eab9ea55,0,0,191232784,573698354,0,0
0xd7681ba6256897c3cd1585708b8c6bba4f87ba6d,0,0,187197705,561593117,0,0
0xa5a3d0c9948e291bec158687be61c74b4aeb22f8,0,0,185739315,557217945,0,0
0xc532c4f221956cbc27e8e7add07d07830fd26a08,0,0,183438910,550316730,0,0
0x7327465d76f097342915338faff4cb0b60e44e67,0,0,179572154,538716463,0,0
0x8f6be565124de69ce45b60d26055204ec7c0a399,0,0,176923032,530769097,0,0
0xb298b212c5efb72ae32a8273d654c6d22ea7d636,0,0,176754600,530263802,0,0
0x49aa83dfdc3173996593806195a4ac6e7177e3e3,0,0,176662106,529986318,0,0
0x3ea858248db056c8be3844323bff9e3f5f1fe695,0,0,176610006,529830018,0,0
0x37d8f6ab18d0d53a63d112adcd4bccc9e957d007,0,0,176486099,529458299,0,0
0xfb7730e530199b53026fff9e1f77520ea3870ba8,0,0,171394983,514184950,0,0
0xbc63ab0a5434928f2c89d2e04f13fcbde551e077,0,0,160216222,480648668,0,0
0x1bb72531ef6ef9bc2e814417090aea519cf9d132,0,0,159433514,478300543,0,0
0x0c491443f4d7f9e992230e27124262ed851798df,0,0,153965218,461895655,0,0
0x26d4d42234b06ef94a60862619eba4b1c2162697,0,0,137582710,412748132,0,0
