address,amount0,amount1,amount2,amount3,amount4,amount5
terra1000erz2dkhyeaqkuau9yryep6pnx622cyhy9wk,0,0,1459738,4379215,0,0
terra1000kvncjmggsj433xawcjgn5d7xslmz0zhzp3d,0,0,15742777,47228332,0,0
terra1000wwlxpv0ehfzfxqm2fqq2rkv874j0hxzphy5,0,0,446631,1339893,0,0
terra1002743yxn0akwdh77389sl88zslh0a7nfusc9x,0,0,7322409,21967229,0,0
terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88,0,0,1166982,3500946,0,0
terra1004rfyte5t5srhgtqwmd8hnds5ersqtenep650,0,0,1362215,4086646,0,0
terra10054v45pshdxtjdtumtrsrrrg2me42andv9nu0,0,0,2072374,6217123,0,0
terra1005le4argrgh0nnx7ewz3xwq38rjc2368rsf5r,0,0,7165186,21495558,0,0
terra1005q25w8c5tfskyqt64ztqa8wt33anakvxxf5e,0,0,5611498,16834496,0,0
terra1005r2u35mrw9zqvn7j5d3x04gq6cap232kjwuw,0,0,4253133,12759399,0,0
terra1006lghxe6kuan7j88gkg2wjhyd7kvzn4qfddxu,0,0,1499757,4499271,0,0
terra1007h6xwvk4k75xg4z5t9xce6fhkghrqs6jdda5,0,0,1682973,5048919,0,0
terra1007hnrphjeve0nhxr8pkqlwldtk29slzrl2cjj,0,0,422725,1268175,0,0
terra1008cau08lqu7s5w45x29pfz36f6k4xphecyx9e,0,0,1158217,3474653,0,0
terra1008s03gkcsdcu4njel88up69ze6uv7frc3ck4x,0,0,836192,2508576,0,0
terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3,0,0,4605437,13816314,0,0
terra100dxspkurxsa29upl7s9pywqxtff70r6l9ux2u,0,0,14875937,44627813,0,0
terra100dxvractwprg0hghps6gt348zzy502e6xlaaf,0,0,3236822,9710468,0,0
terra100ecf4a36hamp47aa8m5807tmthyapuvz30jkj,0,0,317024,951074,0,0
terra100eqg7s23vyjjrgp94wuej3vxgda3p25v9whtq,0,0,26,1871419,623779,2495119
terra100ggkt96xf8kkhrpwddxxferq664347uccgpd7,0,0,29483062,88449186,0,0
terra100gy43v5yftxsw5req3dtse7n5m74a5vyks5j0,0,0,6975295,20925887,0,0
terra100h6s4heqndaffhrg4zwpxpq0jznkx7kmvgy2k,0,0,5366541,16099624,0,0
terra100hxw7qp0ltyk4n824qnz698hpe3cdp6wfndeq,0,0,5619124,16857372,0,0
terra100kcry5lclqjdvk3nxxk40kg0wtsky26jnqne6,0,0,9427298,28281896,0,0
terra100kk8ps6ndhrls7udjjneqfejmk0pr78spz885,0,0,1532747,4598243,0,0
terra100m5y4crq778vpvfx4qtr2a90spwrkxkr3ju3c,0,0,12390515,37171545,0,0
terra100m9jnrnawx5xafdfeuzpwrghuhtwyveejrk9m,0,0,3648145,10944437,0,0
terra100mvrlzjw06cd0803akngfyauqf3zzgak5r2d6,0,0,5557415,16672247,0,0
terra100npfzsvpcpy55z83t0w9kzsg09uxrydru8nd3,0,0,50735319,152205958,0,0
terra100pesppvy4utsvalwxqlmfrm68rv0qek2pajsw,0,0,819003,2457009,0,0
terra100pmvhuzgxjgvgal0raxfxn4nfz405rrpgnw5y,0,0,7010718,21032155,0,0
terra100ppum263n994u2dv8teqxn6x02uyrv59nrpgm,0,0,6486374,19459124,0,0
terra100r8d79cnhhvwksunmt75nnqws7c6drkzwnv63,0,0,603085,1809255,0,0
terra100t7swldsf5xfug8cf9h6ha5e5usp6c03xql3l,0,0,10931643,32794930,0,0
terra100t9c32r93sujk9rtme3fjevgs70dypvcne2ew,0,0,270960,812880,0,0
terra100vlen64pwhj7lm5dcjg8qjjqnj347zqvn7cly,0,0,3684870,11054611,0,0
terra100wss7k9dwqvdn4wdel65h5usprm3gajnu7hl8,0,0,25413460,76240382,0,0
terra100xg87n7f6h0yv9qv0nexh78q4w85d40uvxgn5,0,0,1316293,3948879,0,0
terra100xy3jd787uyxafx3nw02qleq7lk7lu9rt595e,0,0,23406425,70219275,0,0
terra100y7hfsnzhj5yj9uy8dxss6vzvwfvgjlmdey66,0,0,36765111,110295333,0,0
terra100zmg56xthk0p62lr9n9ctwz0hf064s3cuyvpw,0,0,491031,1473093,0,0
terra100zsz344nf7gsf3m8u6jr3wy0atsqdawzh3zax,0,0,366737,1100212,0,0
terra100zzzaygcj7mcq3mnef9lu6lxjpkffa8fn8tqz,0,0,8283048,24849145,0,0
terra10204hr4fjqc32ek24fx3l4duknwd9j6gvpt7e3,0,0,1121970,3365912,0,0
terra1020fgrpjd4es7k43vncrp4rsw2ndszf0nucuq2,0,0,8450394,25351182,0,0
terra1022aur2cdezm8segwf4t3jq333gjewujsdhfs4,0,0,578368,1735106,0,0
terra1022qsvpwxujutv2hf5j7lxg7d95sqqzva4yr8w,0,0,687447,2062342,0,0
terra1023qjg9fz3d3387epemd5p0mxc5gesejwcgmy2,0,0,640896,1922688,0,0
terra1024d90q84wax4k6l5wvya5shzn49fnnxa64c95,0,0,116000468,348001405,0,0
terra1024p9x93486pvqaj5vkuxwmt8zpex5q45nfkcr,0,0,3622020,10866061,0,0
terra1026qm40cwyg32qhhsx923lkxvzm7eynjwv8mza,0,0,5094672,15780729,165570,662280
terra1029gtlgwxnunnd093rh399veadqw90ferywxqm,0,0,5207388,15622164,0,0
terra1029v5np9qpeh69gj380cn6z0glfrhzutyrf4ex,0,0,293348,880044,0,0
terra1029y29hv7kjdxp7k8vjtt3mnwxj2cjp4ejmer8,0,0,480680483,1442041450,0,0
terra102a65sj5pr9c23m7jeuuwjzw64xt2zx3rzjw4n,0,0,8389100,25167300,0,0
terra102af7a4l2hcmt8g5hn3sgdej77mnte47v6zwte,0,0,17154285,51462855,0,0
terra102arkzd6sejym5800hxkd8eygj2s7q0nne0tjy,0,0,590096,1770289,0,0
terra102c6vvss90gr2rudnzg0al77srs5k9tkdx3wun,0,0,42258179,126774538,0,0
terra102ck94jtqylxasw8zr839emhnk5g6gsddrvued,0,0,349968946,1049906839,0,0
terra102ddm36pffsy0kdktf0ghehddvlwk7lcm77geh,0,0,372117,1116353,0,0
terra102ez3yq9k96zh9xk9jssuun5prs2c9ekg5sp5q,0,0,2052588,6157766,0,0
terra102fafsx40c2awj7qyhg3syxz38mhct6eteen5e,0,0,1680892,5042678,0,0
terra102fcfwnddem9g7ed43uxld3wjvv4mr7dyxaws7,0,0,1847034,5541103,0,0
terra102ftk86qxshz9hq0tqvj3exvu3ylc9df6mx5u9,0,0,34512439,103537318,0,0
terra102g8ksj2m86eg3jt9sdq0khw9wkdpvdr44c9jm,0,0,11223879,33671637,0,0
terra102hvytmcdsyxy8j0z7vlpqlefd605rhpzu9tv8,0,0,481216,1443648,0,0
terra102hx056kcfdxp5rtwwk7u2ku0lkvrdyvv3msyh,0,0,12406452,37219356,0,0
terra102jl8earzs5aaht7kvlkstel30cvvlt8lnd2w5,0,0,67861310,203583932,0,0
terra102kqxelcfhett9wg5g02esv0yda38p3h8v2mte,0,0,0,14334478,4778159,19112637
terra102lrp7rche9yd5pj7z3m3gttxy2r9n3sr5l4vp,0,0,645859,1937577,0,0
terra102mflf8q2df8498yqknars9tchllpku4kdqwrn,0,0,2508689,7526067,0,0
terra102my4425zh6mwk9r7krhe8n25m05l52zjjc554,0,0,4480580,13441740,0,0
terra102nrrw9zy4wycwv3898kn4rprwa7fjkjljpftc,0,0,415887,1247662,0,0
terra102pwdz6wmcptd4xc96gauvfxdehqq062zkqqfv,0,0,140877624,422632872,0,0
terra102qc726l6kvpk3pyydrzp4ahmfdrl6635fxe54,0,0,508417,1525252,0,0
terra102r23y5uu0jau77qjc5r4vz360uw9tv7l7gm23,0,0,364625,1093877,0,0
terra102r33c37wcej77p6zzvq8ke048usn45ajmzkrl,0,0,15994567,47983701,0,0
terra102sawl5738rz5cv2hzdrztxzq2wx2l2qc7d702,0,0,1461189,4383569,0,0
terra102sca9qq0fuu3e4hjz8hfc8c4q7nfrfh5qkrd3,0,0,2414357,7243071,0,0
terra102sdp8kxcekekfcsjrgkr3fg6353w675cwqncc,0,0,46898967,140696903,0,0
terra102sdzrudpzq7zc225r33rumfrsujndlam0e325,0,0,2503986,7511960,0,0
terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,0,0,103907047,311721142,0,0
terra102ynau3wfcm9lp6r7p0t43xrqlk02du5te3264,0,0,157786615,473359845,0,0
terra1030mwx64zy2fmdjs7g9vv0s05g9nuaxsdurah5,0,0,869822,2609467,0,0
terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7,0,0,215901293,647703880,0,0
terra10343dlsf3hzy7jzfe7etha9tltr53cly6vrskl,0,0,7686816,23060450,0,0
terra1034qes2wrhsgxufcstcnw5k4dl4dz866e937ha,0,0,5828378,17485136,0,0
terra1035tnh2nn9ay9afjw7eglug3lw2flsajxaaefr,0,0,282936,848808,0,0
terra10364lmjyzsk3jh26u9mxsu3nyvajx5aka27qtg,0,0,724274,2172824,0,0
terra1037ugfvxhsfzc9ffal95265asuj25kmypvl0kd,0,0,3721037,11163113,0,0
terra1038npxvva0mxv57kmjmerlfqy8mu6xlytzsu7a,0,0,818688,2456064,0,0
terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,0,0,12829276,38487828,0,0
terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,0,0,3894045,11682136,0,0
terra103anu6zfwrwls637y33ksq2zuf7k6qd2hvgcq5,0,0,704942,2114828,0,0
terra103aq4qp99y4vea6e73ll23ykuten4ksgz34k5n,0,0,2053491,6160474,0,0
terra103aranqlxxtpd8we7jcmw8gg4ddg3qj6mv858y,0,0,341841,1025523,0,0
terra103as89k4dx2z6a5u588laxrlhmy4mu20jsev3c,0,0,635743,1907231,0,0
terra103avk27ekcztj8v6pny4vuyclwt2w6fe8mxlhs,0,0,330169,990509,0,0
terra103cnuy27dq8wuh8etd5pn735du34dxpsqjc7gt,0,0,53143345,159430036,0,0
terra103csqugdalpd7delnexllaa98vmmphyl6x3epf,0,0,799758,2399276,0,0
terra103ekx49mtqmzcvlqgt7gltaem0azwcvhzp3f5p,0,0,5406921,16220764,0,0
terra103eme2f33e7mwc7skyuzxascs66atxkdt4t34x,0,0,5881211,17643633,0,0
terra103ftmy75ty3wv5jnvh6jr962gv60u3tgsxc4pj,0,0,361121,1083363,0,0
terra103gn7qfdh69s2h9zr6806n7mr6nw23vx4kzftn,0,0,9967886,29903658,0,0
terra103gshttspgt94t87fegxd6jqxnnn6d50ul9g6n,0,0,13330671,39992013,0,0
terra103mgjcuaauc374um2kumdwje26vsgsnp96ejuj,0,0,4118010,12354030,0,0
terra103mqyncrpq36lqd5k8p7wcst74ggf9arzsvqpx,0,0,59484705,178454117,0,0
terra103mtn2unp5wyteyw2uqequlpd89mrraga227nr,0,0,19152346,57457040,0,0
terra103nkzcasajtd005fqwzr2z9f8hzcsyp3dz60aa,0,0,7150154,21450463,0,0
terra103pp5efjaeq2rlk7pyywgglxx36uwgd72mek8k,0,0,400247,1200742,0,0
terra103pslde2vyje4rs2lva7l4k2hzvjeqmuyuyyqn,0,0,673019,2019057,0,0
terra103pxp553nmnjd39le08p7zqjrreyaluz8957c5,0,0,683990,2051972,0,0
terra103q39xa9m6g39l0dftv6xzllfeu2hm78s7d8yu,0,0,382533,1147600,0,0
terra103qss8c0vel5qw9zynmjvrr6d62j44w492ez74,0,0,110095708,330287124,0,0
terra103rakc90xgcuxaee6alqhkmnp7qh92hwt0hxur,0,0,9704727,29114183,0,0
terra103rzzmkmwmttfjfwvndkyz2nfu5ghp663lmnke,0,0,13339657,40018971,0,0
terra103t2wn2tx9vy8n8mtqeay9p2jpcddkwv860a9l,0,0,2278489,6835468,0,0
terra103ufjqekl4cm6welk4wxl5ulfaf4pyrvu5fhe5,0,0,779152,2337456,0,0
terra103uvpha0m2wuckt0lvz2087c4gc0q0vnufangg,0,0,708484,2125454,0,0
terra103vrkgwmgvh7x560yg7yx3fvyajtefl8ywu8aq,0,0,7678751,23036255,0,0
terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,0,0,18759111,56277334,0,0
terra103w0xtnvm8zeyqztlyk3kmp6unap7hqxqzr7k9,0,0,127127581,381382745,0,0
terra103y80z7lu2c04wvzchx2x4fnuee7g8jujgzrd3,0,0,13122035,39366105,0,0
terra1040hnvlnwzukkxhulns2f0n25zapkqeytwjemt,0,0,8775157,26325472,0,0
terra1040qra9t5dqqrv435nd7wj7yu4qyq5cmd2fsa5,0,0,187511209,562533629,0,0
terra1040z0pst0slqswv2dpucqceqypyykkg3hlgkww,0,0,2118360,6355081,0,0
terra1042jmj35424c9vrl72sc69un478v2jy25e6v0w,0,0,2913140,8739421,0,0
terra1043j8wtfr4lkqczcpp0l0yqzlzkjc9pu8cpjye,0,0,50044826,150134480,0,0
terra1043r2jthluz98lm6fkppajnr0t272gc94ksrls,0,0,33370211,100110635,0,0
terra1043ykff0mtf6775vpg8hg6k78kxpq4cllrhu84,0,0,2856666,8569999,0,0
terra1044a3kwr9kx667758y603hzyq6ne7kt4dvzlk8,0,0,0,350286088,116762029,467048117
terra104568sfgk3t25gra8m2fkknn0mjd0wvxhg68ux,0,0,588513,1765540,0,0
terra104803ywm5nypy672vvamctzlh7rfmd560q06gr,0,0,1081894,3245682,0,0
terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw,0,0,164773740,494321222,0,0
terra1048zzrmzwtunz59dznacpyxtzqqyhnlur733p9,0,0,578289,1734867,0,0
terra104cp6refdwgpp8uydg0uf93vrcq5xed3q7xw49,0,0,2223546,6670639,0,0
