address,amount0,amount1,amount2,amount3,amount4,amount5
kava1h6ulpnjrt7mzuyc0rwrmuwlaevw2qc4w7smr67,0,1000,1000000,1000000,1000000,1000000
kava190xtwywsgwu75xqz8sk8s3nj06s0n7tmur9sdq,0,1000,1000000,1000000,1000000,1000000
kava1z75w0td9urxkh254jwqd5m8pd6ulqjfdgpguxn,0,1000,1000000,1000000,1000000,1000000
kava127fx455a433ezknpnuj45xr4tdk90lzetnw79t,0,0,498184483,1494553449,0,0
kava1ajuk4epvv6uxfqv2xxsreu203kfxete079f9tk,0,0,424539847,1273619543,0,0
kava1xztjarl69r7qhxx0h4xe8xg86zt72n7g0jgkpt,0,0,383103182,1149309546,0,0
kava1nsh262f50musa6vr4a03ft0xq0ar86aln4udsy,0,0,368497087,1105491263,0,0
kava1zrthvpd9rjmyapya6xxf2ywrs4h3ugfmfw4rzu,0,0,366736592,1100209778,0,0
kava1lh48rg5gmkdduql376787asvfhmwh7rwyt7phy,0,0,359754582,1079263748,0,0
kava1drx78ag0935wjypwcf22wea6lr2zcd5kf0fym8,0,0,322078940,966236822,0,0
kava1xhfuzss7fvwhfa0f0wvmu49mw4dqvgqlprfkcs,0,0,310823217,932469653,0,0
kava1kn5hudsepjj9ghmlwuwqymtt530qdccsx4ad6h,0,0,284039259,852117778,0,0
kava12uarvclz8t2y7gz3pquxp6uk9sthrkwk8a0y7x,0,0,216875673,650627021,0,0
kava1vhce2eccd907hurh297226rlzyy96wmy29qelh,0,0,170221562,510664687,0,0
kava1lx65ds9q78j0jypall3whyzk95mzyx934xd5cu,0,0,147152919,441458758,0,0
kava1r7xgc06k2lgzwqecwsaa40hl8l7tm9uh0xufpw,0,0,136358185,409074557,0,0
kava1vm8uelxd6sqc2jl2p46jnntz4f7hvh3n90dews,0,0,134973633,404920899,0,0
kava1ap7p33278t4tueyq2dsd9rulhjudne35e9p3ea,0,0,114220175,342660526,0,0
kava17j5tcyew0urkggn6uw962uwnnwrr769zu36hy4,0,0,113288293,339864880,0,0
kava12jchhglr5utr0702juc9d5wpw6dnu20nzmng5d,0,0,107475621,322426864,0,0
kava1gf84um08h8kkuvgxuhvezfez5ktj7mv487lv0a,0,0,107470402,322411206,0,0
kava17a8c6sfpucw37v8dtled4egy53au7ec3vvha8w,0,0,105654279,316962837,0,0
kava1skpc5eg37aqqywenmgn6zul6z8yu5svtl5qf33,0,0,100085400,300256201,0,0
kava1fults8nkfxjm4jvwjx2wsf0rtcygsa6wfwx6dg,0,0,94990478,284971436,0,0
kava1qw86tf3h8eaazk5ze6cjh2z85u0x96k6xl4g7y,0,0,92526932,277580798,0,0
kava12msyztf8l50qtgnztyvrw80hsdrrnc52tjgk54,0,0,92117181,276351543,0,0
kava17psudxfnrnfhkz7nxfm30kn9fqg30ux005j4g2,0,0,77152647,231457941,0,0
kava1sxhfv86lzeugcmu4wupujpy092zppgcr2spd62,0,0,72893087,218679263,0,0
kava1y0lgzy7gdmwe5at6n5shuysrdmlp9ah002xlq5,0,0,71320588,213961764,0,0
