address,amount0,amount1,amount2,amount3,amount4
terra1dcegyrekltswvyy0xy69ydgxn9x8x32zdtapd8,100,10000,0,100000,0
terra1dcegyrekltswvyy0xy693dgxn9x8x32zdtapd8,100,90000,0,100000,0
terra1dcegyrekltswvyy0xy62ydgxn9x8x32zdtapd8,1000,12000,0,100000,0
terra1dcegyrekltswvyy0xy19ydgxn9x8x32zdtapd8,1001,14000,0,100000,0
terra1dcegyrekltswvyy0x269ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
terra1dcegyrekltswvyy04y69ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
terra1dcegyrekltswvyy3xy69ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
terra1dcegyrekltswvy20xy69ydgxn9x8x32zdtapd8,100,90000,0,100000,0
terra1dcegyrekltswv2y0xy69ydgxn9x8x32zdtapd8,1000,12000,0,100000,0
terra1dcegyrekltsw2yy0xy69ydgxn9x8x32zdtapd8,1001,14000,0,100000,0
terra1dcegyreklt2wvyy0xy69ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
terra1dcegyrekl2swvyy0xy69ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
terra1dcegyre2ltswvyy0xy69ydgxn9x8x32zdtapd8,999,1066666,1,100000,1
