address,amount0,amount1,amount2,amount3,amount4
terra1kakd0l3ll92gamdz8zq7pr7lmghxhkna7jjj39,70621585977,41195925153,123587775460,0,0
terra1jyxljeq865wsndutyyr0vrzzq9tj3fa6rmhgrl,0,0,143728969238,47909656412,0
terra15zg85d7wsmmg9hp2v5fjz8djyw3mk63ku702h0,31442027775,18341182869,90894455534,11956968975,0
terra1tc43dhr935d9lwad4rsjuy53ne68tvsz5kewy4,0,0,94747698238,31582566079,0
terra1x04xgtwlw72gtfzrq7nfwmr6eexla8ecljw28z,1231930155,718625923,87719116464,28521079564,0
terra1fs3m6a98zc2j7csww77z7newtx7en9mj7de46j,0,0,55566215588,18522071862,0
terra1e82da9n6jz4t42eh0wn5hrt6hdmf7jyq8sufkp,19973321417,11651104159,34953312479,0,0
terra1ywcj0qmuvfv6v97esqd6qyptsw2cqzya8fx4kf,1122871818,655008560,42414027184,13483000500,0
terra1eq73n0u8kgzks84ztuatpvm7et8693cjwezj2r,2253050236,1314279304,40504390352,12187184146,0
terra172c9ltx3x04f4mh4l2j3th6yvdevd94xrzwfum,14124317195,8239185030,24717555092,0,0
terra1dg66744llzxj66kns76usk6wtg2y27wy20nu9f,14047994,8194663,31857270171,10610895393,0
terra1af7fq28f9qjrxwet4vt23l95f8mv2gcc5dpm63,12380473766,7221943030,21665829091,0,0
terra18wj885n63ree2ce938yywtpakgnrpyvp2dwphj,0,0,30374736150,10124912050,0
terra1qye46hulwvl0n2q4us7u69j2emz228jnzswqp0,8505570321,4961582687,22784822249,2633358062,0
terra17mxpjk5d3xj2jln2shmj0jswvvvg2c7h4ycpzy,11372995387,6634247309,19902741928,0,0
terra1aw0xgq4cu0jwnunp3sv6gx2zuxef7r2n6mgqll,10954274805,6389993636,19169980909,0,0
terra144d596ur0r46v2a25z9tkw5kdxjp8kpy6ehzvm,0,0,26145597191,8715199063,0
terra1hv43rq7vz4eljaj3mrc7a409vu2ygptvqm3kzz,0,0,25992848444,8664282814,0
terra1hegzxhtt33rhnjks95su37lwdt3uhg7z9mu0mh,10074576805,5876836470,17630509410,0,0
terra1mrtvezrjrqhw7vh9m44kh5uecvt92y506m2yw7,7015417471,4092326858,18424072822,2049030749,0
terra162q4h7vqldvke8k5tylfya2afr3sxt9ag07tdg,113078,65962,21333348010,7111050040,0
terra1h60xanr9kqzqqdmpzvap20zugxwze7lg542v2l,0,0,20659896629,6886632209,0
terra1wqwfwh797tf77e2xpvy9xx082pwpxxlm9x4xws,8063025396,4703431481,14110294443,0,0
terra1drcrd7snupdk4kz76rjfs7ad8a6566q8jz27dt,7062158597,4119592515,12358777545,0,0
terra1de5yv00tzuqw48t3q99akrdhza7jkx08k8v53p,0,0,16021551192,5340517064,0
terra18s82gpq5emkw03dpplxalj03pnkmlxtdg0895g,33574774,19585284,14369993100,4770412415,0
terra12qql2eq3ecscskw9mva8xfqzf0e0jjdvl0wsvk,5592335429,3262195667,9786587001,0,0
terra1u4c8suhxecwklvxl59cjer2xssavf88trv0ldk,97534,56895,13157367770,4385732361,0
terra10qu3zracgv4qvewejrj0xr3nfuc88x8k2nzwx8,4835238856,2820555999,8672466814,70266271,281065087
terra1f8asmw7rvarm04aqwpr6k26h30uye70wma9ydq,4935360663,2878960387,8636881161,0,0
terra1js6rwd7zete2r7fzz78kc43ua5xvg9ddv85695,1884284,1099165,12262887167,4086529890,0
terra1ewgc27kdac0g2yqtrqgl7mp6x28vd285swah2v,0,0,11934744630,3978248210,0
terra1dt5deezcgv2mzxlhksqghv5x35yy3sapepl0t2,4677514270,2728549990,8185649972,0,0
terra1mv9n7qkgq7wfwwpl0f6w7shau3lx99g3lg0jnw,20038,11689,11679103043,3893022658,0
terra16jtwav3jk2m6nuctt7f2afp99cjj73zh0xzaq4,1599233517,932886218,10242390307,2481243883,0
terra17zgucln37ks7kmazzm9396txh0extrrj8feyc8,4283466542,2498688816,8219385472,241106341,0
terra1yufvxf2z04357g4fsm5r650rslskm3runp02y0,2285012636,1332924038,9233045751,1744757879,0
terra1d8yn5y3x8sz992wrruc762fl8ydwqu8jw6fcxt,3129239355,1825389624,8074519321,866116816,0
terra1dga08ju4thnsrfpn5ugcrzznka2kukpq24kn6w,4164318503,2429185793,7287557380,0,0
terra1rf56c6cntrglu27u0l0kd9ekcehydjmy4qw87t,3961818896,2311061023,7422738065,163184998,0
terra1e5wgdsvxr0pgs67rhgdf07ae38x43ys69mjxc4,598794077,349296545,9518790791,2823633718,0
terra1fkkshkjgxmnk9nqyyq9l7s5ukakrlcpxgh0rpw,1148291323,669836605,8807990704,2266160295,0
terra1e79ksuymh57fm8ytg507q2vtn70u3phzdlzczw,3531079298,2059796257,6179388773,0,0
terra1p05yru8n25f9llmfvgcut2w287kyc94fplcwtq,3516258692,2051150903,6153452711,0,0
terra1ase4wr2sq2u4jjjw73wpjyl0ll49fsmgnl7x78,54460,31768,8605231850,2868378848,0
terra1k0rv5tf83slqgwrmqr47uyw7d840fuyjw2gc32,3290016326,1919176190,5757528571,0,0
terra18zhzuktn4xgv4cleymuvj36de3m8js8qcs84le,1420993161,828912677,7154146251,1555802739,0
terra16rag076rd94k9e8v2hss8sg3z8xddyc6j3k47r,3237942015,1888799508,5666398526,0,0
terra1z7ncvaphl0spv4v057x2tmr2k9gm9ezl9r4jlc,3187345887,1859285101,5577855303,0,0
terra1ndfyhzv5f87w525avk3lvlsd7dvlx4e58zp7x7,43449983,25345823,7839103488,2587688672,0
terra1fhh2h4pjxuhjwfvj2qpdjzkv29cuwzhfs04dy6,0,0,7800242315,2600080771,0
terra1mu6gx7ct654a37zyeyf4ks5lwl0czl4k9jzc5k,3003238446,1751889093,5255667281,0,0
terra1nnrxspdmsd4dnrl2g60hmj6sypd3a9ftdzn9dl,549501187,320542359,6961956642,2000109854,0
terra174echl95gxagu523ey6yupqz6kllahmlr374zu,470142742,274249933,6993708977,2056986392,0
terra1g2xmly8fdshp4t9zqxqg904y3hg0nzlslgxlmr,184254650,107481879,6970801957,2216118772,0
terra19n9xgsntfangc49u739g7wz0ls474w75uytc3j,2835843944,1654242300,4962726902,0,0
terra1raa93h2sdjpsc0cnwhw0xjlwd3t8z8x2hmfw9v,2804675658,1636060800,4908182402,0,0
terra1l7yaxuy5a7dnry4m7qtw9njn0zkdwrn9szkrhl,2741431438,1599168339,4910108797,37534593,0
terra1y0a3gmca63nqper09fkmhn50385vpea2wugtda,2785374891,1624802020,4874406060,0,0
terra1rm2dhk95w40p6l0w0smnrkwq8tngu8x9ad3nca,2744264464,1600820937,4802462812,0,0
terra1qmwx28lk5s9hu9s0u68at6te0utq3azrw3s676,2743109983,1600147490,4800442471,0,0
terra14rucnll8q68uzt3ymj4hw4ugcpsdq0ykt8lvk0,2742178642,1599604208,4798812624,0,0
terra1rsy4eykyv6cxsrjeqh0s3kswayr2us4uetclh6,2741903291,1599443586,4798330760,0,0
terra10u05dcp6q3f0uqv3msf39yz7l3fhtk5fwnhkzw,2741623059,1599280117,4797840353,0,0
terra1ravau9c0akkzdg25qq5ckuz62yh3zuz8qczjms,2741568214,1599248125,4797744375,0,0
terra1eyuy5vsz0fz8xt3ng4ds8r4gd8kgak4hcwv0k0,2741568214,1599248125,4797744375,0,0
terra1rc0a856tdk5qwa349grh0ey9rn8rv4j8ntvrug,2741568214,1599248125,4797744375,0,0
